model,MAE,RMSE,MAPE,WMAPE,sMAPE,BiasPct,R2,Actual_Total_Qty,Pred_Total_Qty,Top10_HitRate,Top20_HitRate,is_ml_model,is_benchmark
benchmark_ewma_2m_a30,34.57449392712551,64.31093591087595,130.43919921465638,68.0958456263456,132.83045317276708,-36.9771150625947,0.4445386101709803,12541.0,7903.699999999999,0.7,0.6,False,True
benchmark_ewma_2m_a40,34.93846153846154,63.909111829994835,142.1937807549558,68.81269436249102,132.58060931921597,-29.338968184355313,0.45145813243390254,12541.0,8861.6,0.7,0.6,False,True
benchmark_ewma_2m_a50,36.14372469635627,64.55173207095471,154.89255103409408,71.1865082529304,132.85834032605547,-21.700821306115937,0.44037125138326605,12541.0,9819.5,0.6,0.55,False,True
benchmark_ewma_2m_a60,38.17975708502025,66.20839141013327,168.58951387042003,75.19655529862054,133.67191665508818,-14.062674427876567,0.4112779670190707,12541.0,10777.4,0.6,0.55,False,True
benchmark_ewma_2m_a70,40.47085020242915,68.80588284565529,182.8220079733797,79.70895462881748,134.70993029007928,-6.4245275496371965,0.36417827934131686,12541.0,11735.3,0.6,0.55,False,True
benchmark_ewma_2m_a80,43.027530364372474,72.2427946339164,197.48587744872265,84.7444382425644,135.89678719885487,1.2136193286021906,0.29907218835000393,12541.0,12693.2,0.6,0.55,False,True
benchmark_rolling_2m,43.06275303643725,82.31570631460848,94.67030467655846,84.81381070090104,134.25868352337417,-72.62180049437845,0.08998272897419135,12541.0,3433.5,0.5,0.5,False,True
benchmark_rolling_3m,43.06275303643725,82.31570631460848,94.67030467655846,84.81381070090104,134.25868352337417,-72.62180049437845,0.08998272897419135,12541.0,3433.5,0.5,0.5,False,True
benchmark_ewma_2m_a90,45.949392712550605,76.40593354028171,212.67838783406444,90.49916274619248,137.29706444677555,8.851766206841576,0.21595969404513238,12541.0,13651.100000000002,0.6,0.55,False,True
benchmark_naive_current,48.963562753036435,81.18365244986958,228.08623013153388,96.43569093373733,137.9087951667086,16.489913085080936,0.1148407964267022,12541.0,14609.0,0.6,0.55,False,True
benchmark_seasonal_global,69.40936398067129,116.60120842163872,318.1320118201964,136.7045124250523,144.4117916872667,63.10377231497891,-0.8259560474432512,12541.0,20454.844086021505,0.6,0.55,False,True
benchmark_seasonal_group,69.40936398067129,116.60120842163872,318.1320118201964,136.7045124250523,144.4117916872667,63.10377231497891,-0.8259560474432512,12541.0,20454.844086021505,0.6,0.55,False,True
benchmark_momentum_clipped,74.3290977995907,127.24901607567976,338.8435448888608,146.39412452355398,146.55705345333766,70.7243013619512,-1.1746685942741406,12541.0,21410.5346338023,0.6,0.55,False,True
decision_tree,79.89277030573008,115.64247925850924,416.8038363727356,157.35199956554763,152.34551202229468,78.9816636229243,-0.7960524062051473,12541.0,22446.090434950936,0.3,0.35,True,False
random_forest_global,86.75310446066058,124.50762045570418,489.6666709397468,170.86370147343246,155.48751907674324,103.41766820669076,-1.0819777454957369,12541.0,25510.60976980109,0.6,0.5,True,False
extra_trees_global,89.15041415212103,129.112980258042,491.88016122027153,175.58529858523158,163.17322840312073,106.36195759345672,-1.2388450050343396,12541.0,25879.85310179541,0.4,0.45,True,False
gradient_boosting,90.94450136876817,134.44562210618002,455.99753091336044,179.11882495882097,149.67503001760565,112.93565971859101,-1.4276023365614923,12541.0,26704.2610853085,0.7,0.55,True,False
